status,tenant,productCode,sourceType,productType,supportCountryCode,vendorCode,dataPolicyCode,larkProductCode,typeOfSim,operatorCode,purchaseType,skuType,dataType,baseSimEsimSkuCode,importType,supportedCountries,supportedCountryName,dailyResetTime,activationTime,networkType,apnOriginal,apn,onsiteCarrier,localPhoneNumber,localNumberCountry,hotspot,kycCode,kycNeeded,kycLinks,topUpOptions,activation,unsupportedApps,telcoPerks,note,dataPlanType,dateCreated,lastModifiedDate,createdAt,createdBy,updatedAt,updatedBy
Active,VN,3CJPNWMP,3,C,JPN,WM,P,,eSIM,WORLDMOVE,API Purchase,Base + Datapack,Daily Data,,Official,JP,Japan,UTC+8,The QR code must be scanned and activated within 30 days after redemption.,4G/5G,plus,plus,Softbank,No,,Yes,1,No,,No,,,,,,,,2026-05-13T04:41:57.124Z,cmfql1nbf0000yxfddj2kjt53,2026-06-01T09:47:32.093Z,cmfql1nbf0000yxfddj2kjt53
Active,US,DCJPNWMP,D,C,JPN,WM,P,,eSIM,WORLDMOVE,API Purchase,Base + Datapack,Daily Data,,Official,JP,Japan,UTC+8,The QR code must be scanned and activated within 30 days after redemption.,4G/5G,plus,plus,Softbank,No,,Yes,1,No,,No,,,,,,,,2026-05-13T04:23:53.828Z,cmfql1nbf0000yxfddj2kjt53,2026-06-01T09:47:32.111Z,cmfql1nbf0000yxfddj2kjt53
Active,US,DCHKMWMF,D,C,HKM,WM,F,,eSIM,WORLDMOVE,API Purchase,Base + Datapack,Fixed Data,,Official,"HK, MO","Hong Kong, Macao",UTC+8,It will be activated after receiving the network signal.,4G,CTExcel,CTExcel,China Telecom,No,,Yes,1,No,,No,,,,,,,,2026-05-11T17:05:43.622Z,cmfql1nbf0000yxfddj2kjt53,2026-05-12T08:03:11.739Z,cmfql1nbf0000yxfddj2kjt53
Active,US,DCHKMWMP,D,C,HKM,WM,P,,eSIM,WORLDMOVE,API Purchase,Base + Datapack,Daily Data,,Official,"HK, MO","Hong Kong, Macao",UTC+8,It will be activated after receiving the network signal.,4G,CTExcel,CTExcel,China Telecom,No,,Yes,1,No,,No,,,,,,,,2026-05-11T17:05:40.274Z,cmfql1nbf0000yxfddj2kjt53,2026-06-01T09:47:32.124Z,cmfql1nbf0000yxfddj2kjt53
Active,US,DCUSASSD,D,C,USA,SS,D,EUSASSP,eSIM,TMOBILE,Manual Purchase,Base + Datapack,Daily Data,,Official,US,United States of America,Local time,"It will be activated on the day that is chosen on the purchase order. For more information, please refer to the “Note” section”.",5G,APN：fast.t-mobile.com,APN：fast.t-mobile.com,T-mobile,Yes,US,Yes,1,No,,No,"Customers need to provide their EID and IMEI to receive notifications.
 The customer will receive the eSIM activation notification within 4 hours. After receiving the notification, they must activate the eSIM within 2–3 hours.
 If activation is not completed within this time, customers must contact Gohub to refresh the eSIM.
 Only one T-Mobile eSIM can be installed on one device.
Useful codes:
#686# – Check phone number
#932# – Check data usage",,,"Customers need to provide their EID and IMEI to receive notifications.
 The customer will receive the eSIM activation notification within 4 hours. After receiving the notification, they must activate the eSIM within 2–3 hours.
 If activation is not completed within this time, customers must contact Gohub to refresh the eSIM.
 Only one T-Mobile eSIM can be installed on one device.
Useful codes:
#686# – Check phone number
#932# – Check data usage",,1744788925000,1771815301000,2026-05-02T13:39:20.685Z,,2026-05-06T07:22:05.323Z,cmfql1nbf0000yxfddj2kjt53
Active,VN,2CTHATMF,2,C,THA,TM,F,,eSIM,TRUEMOVE,Only Stock,Base + Datapack,Fixed Data,,Official,TH,Thailand,Local time,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G/5G,auto,auto,Truemove,Truemove,TH,Yes,1,No,,No,,,,Go to Dtac/True Store to KYC for Call/SMS function,,,,2026-05-01T09:48:50.172Z,,2026-05-01T09:48:50.172Z,
Active,VN,4EWORELY,4,E,WOR,EL,Y,WORELF,SIM,ELITE,Manual Purchase,Datapack,Fixed Data,ELITEBLANKSIM,Official,"AU,AT,BE,BG,BR,CZ,DK,DE,EE,ES,FI,FR,GB,GI,GR,GP,HK,HR,HU,ID,IE,IL,IS,IT,LI,LT,LU,LV,MT,NL,NO,NZ,PL,PR,PT,RO,SE,SG,SI,SK,US,AX,CY,GF,GG,IM,JE,MO,MQ,RE,BL,MF,SM,LK,CH,VI,VA,CO,CR,GT,NI,PA,PE,SV,UY,YT","Australia, Austria, Belgium, Bulgaria, Brazil, Czech Republic, Denmark, Germany, Estonia, Spain, Finland, France, United Kingdom, Gibraltar, Greece, Guadeloupe, Hong Kong, Croatia, Hungary, Indonesia, Ireland, Israel, Iceland, Italy, Liechtenstein, Lithuania, Luxembourg, Latvia, Malta, Netherlands, Norway, New Zealand, Poland, Puerto Rico, Portugal, Romania, Sweden, Singapore, Slovenia, Slovakia, United States of America, Åland Islands, Cyprus, French Guiana, Guernsey, Isle of Man, Jersey, Macao, Martinique, Reunion, Saint Barthelemy, Saint Martin, San Marino, Sri Lanka, Switzerland, Virgin Islands (USA), Vatican, Colombia, Costa Rica, Guatemala, Nicaragua, Panama, Peru, El Salvador, Uruguay, Mayotte",Local time,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G/5G,three.co.uk,three.co.uk,Various,Yes,GB,Yes,1,No,,No,,,,"10 GBP: 40GB UK, including 6GB roaming
15 GBP: 100GB UK, including 12GB roaming
Unlimited local UK, EU calls/messages",,1744788925000,1771815301000,2026-04-29T17:54:43.328Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EW223DP,3,E,W22,3D,P,W223DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,"GB,DK,AT,FR,DE,IT,NL,PL,ES,CH,US,CN,HK,MO,SG,MY,ID,TH,KR,JP,TW,PH","United Kingdom, Denmark, Austria, France, Germany, Italy, Netherlands, Poland, Spain, Switzerland, United States of America, China, Hong Kong, Macao, Singapore, Malaysia, Indonesia, Thailand, South Korea, Japan, Taiwan, Philippines",GMT +8,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"UK, Italy, Austria, Denmark: 3UK
Germany: Telefonica
France: Free Mobile
Netherlands: KPN
Switzerland: Swisscom
Spain: Telefonica
Poland: P4
US: T-mobile
China: China Unicom, China Telecom
HongKong: 3HK
Macao: 3HK
Japan: Rakuten, Docomo
Philippines: Smart
South Korea: SK, LGU
Taiwan: Chunghwa
Thailand: AIS, True
Singapore: Simba
Indonesia: Telkomsel, Indosat
Malaysia: Celcomdigi, U-mobile",No,,Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1767085259000,1771818105000,2026-04-29T17:54:42.820Z,,2026-04-30T10:26:43.464Z,
Active,VN,3EW243DP,3,E,W24,3D,P,W243DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,"GB,DK,AT,FR,DE,IT,NL,PL,ES,CH,US,CN,HK,MO,SG,MY,ID,TH,KR,JP,TW,PH,AU,NZ","United Kingdom, Denmark, Austria, France, Germany, Italy, Netherlands, Poland, Spain, Switzerland, United States of America, China, Hong Kong, Macao, Singapore, Malaysia, Indonesia, Thailand, South Korea, Japan, Taiwan, Philippines, Australia, New Zealand",GMT +8,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"UK, Italy, Austria, Denmark: 3UK
Germany: Telefonica
France: Free Mobile
Netherlands: KPN
Switzerland: Swisscom
Spain: Telefonica
Poland: P4
US: T-mobile
China: China Unicom, China Telecom
HongKong: 3HK
Macao: 3HK
Japan: Rakuten, Docomo
Philippines: Smart
South Korea: SK, LGU
Taiwan: Chunghwa
Thailand: AIS, True
Singapore: Simba
Indonesia: Telkomsel, Indosat
Malaysia: Celcomdigi, U-mobile
Australia: Telstra
New Zealand: Spark",No,,Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1768810042000,1771818105000,2026-04-29T17:54:42.820Z,,2026-04-30T10:26:43.464Z,
Active,VN,3EUSABCP,3,E,USA,BC,P,USABCP,SIM,BILLIONCONNECT,API Purchase,Datapack,Daily Data,GOH10052022,Official,US,United States of America,GMT+8,It will be activated after receiving the network signal.,4G,"mobile.three.com.hk
","mobile.three.com.hk
",AT&T/T-Mobile,No,,Yes,1,No,,No,,,,,Optional Data Plan,1744788925000,1766124025000,2026-04-29T17:54:42.819Z,,2026-04-30T10:26:43.742Z,
Active,VN,3EUSAJYF,3,E,USA,JY,F,USAJYF,SIM,JOYTEL,API Purchase,Datapack,Fixed Data,JY17112022,Official,US,United States of America,GMT+8,It will be activated after receiving the network signal.,4G,unet,unet,	AT&T、T-mobile,No,,Yes,1,No,,No,,"Tiktok, Chat GPT",,,,1744788925000,1766123912000,2026-04-29T17:54:42.819Z,,2026-04-30T10:26:43.742Z,
Active,VN,3EUSASSD,3,E,USA,SS,D,USASSP,SIM,TMOBILE,Manual Purchase,Datapack,Daily Data,TMOBILEBLANK,Official,US,United States of America,Local time,"It will be activated on the day that is chosen on the purchase order. For more information, please refer to the “Note” section”.",4G/5G,APN：fast.t-mobile.com,APN：fast.t-mobile.com,T-mobile,Yes,US,Yes,1,No,,No,,,,"Check phone number press and call #686#
Check data usage press and call #932#",,1753342322000,1771815301000,2026-04-29T17:54:42.819Z,,2026-04-30T10:26:43.742Z,
Active,VN,3EUSA3DP,3,E,USA,3D,P,USA3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,US,United States of America,GMT +8,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,T-mobile,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1765267911000,1771818105000,2026-04-29T17:54:42.818Z,,2026-04-30T10:26:43.742Z,
Active,VN,3EUSA3DF,3,E,USA,3D,F,USA3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,US,United States of America,GMT +8,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,T-mobile,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1765267905000,1771818105000,2026-04-29T17:54:42.818Z,,2026-04-30T10:26:43.742Z,
Active,VN,3EUSA3DA,3,E,USA,3D,A,USA3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,US,United States of America,GMT +8,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,T-mobile,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1765267911000,1771818105000,2026-04-29T17:54:42.817Z,,2026-04-30T10:26:43.464Z,
Active,VN,3ETWNWMP,3,E,TWN,WM,P,TWNWMP,SIM,WORLDMOVE,API Purchase,Datapack,Daily Data,WMBLANKSIM,Official,TW,Taiwan,GMT +8,It will be activated after receiving the network signal.,4G,mobile.three.com.hk,mobile.three.com.hk,Chunghwa Telecom,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1767862983000,1771815301000,2026-04-29T17:54:42.817Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EUSA3DB,3,E,USA,3D,B,USA3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,US,United States of America,GMT +8,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,T-mobile,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1765267911000,1771818105000,2026-04-29T17:54:42.817Z,,2026-04-30T10:26:43.464Z,
Active,VN,3ETWNWMF,3,E,TWN,WM,F,TWNWMF,SIM,WORLDMOVE,API Purchase,Datapack,Fixed Data,WMBLANKSIM,Official,TW,Taiwan,GMT +8,It will be activated after receiving the network signal.,4G,mobile.three.com.hk,mobile.three.com.hk,Chunghwa Telecom,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1767862985000,1771815301000,2026-04-29T17:54:42.816Z,,2026-04-30T10:26:43.222Z,
Active,VN,3ETWNJYP,3,E,TWN,JY,P,TWNJYP,SIM,JOYTEL,API Purchase,Datapack,Daily Data,JY17112022,Official,TW,Taiwan,GMT+8,It will be activated after receiving the network signal.,4G,mobile.three.com.hk,mobile.three.com.hk,CHT,No,,Yes,3,Yes,https://kyc.esim.exchange/,No,,"Tiktok, Chat GPT",,,,1744788925000,1766123912000,2026-04-29T17:54:42.816Z,,2026-04-30T10:26:43.464Z,
Active,VN,3ETWN3DP,3,E,TWN,3D,P,TWN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,TW,Taiwan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Taiwan: Chunghwa,No,,Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754381966000,1771818105000,2026-04-29T17:54:42.815Z,,2026-04-30T10:26:43.222Z,
Active,VN,3ETWNJYF,3,E,TWN,JY,F,TWNJYF,SIM,JOYTEL,API Purchase,Datapack,Fixed Data,JY17112022,Official,TW,Taiwan,GMT+8,It will be activated after receiving the network signal.,4G,mobile.three.com.hk,mobile.three.com.hk,CHT,No,,Yes,3,Yes,https://kyc.esim.exchange/,No,,"Tiktok, Chat GPT",,,,1744788925000,1766123912000,2026-04-29T17:54:42.815Z,,2026-04-30T10:26:43.222Z,
Active,VN,3ETWN3DF,3,E,TWN,3D,F,TWN3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,TW,Taiwan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Taiwan: Chunghwa,No,,Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754897715000,1771818105000,2026-04-29T17:54:42.814Z,,2026-04-30T10:26:43.742Z,
Active,VN,3ETWN3DA,3,E,TWN,3D,A,TWN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,TW,Taiwan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Taiwan: Chunghwa,No,,Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754381966000,1771818105000,2026-04-29T17:54:42.813Z,,2026-04-30T10:26:43.222Z,
Active,VN,3ETWN3DB,3,E,TWN,3D,B,TWN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,TW,Taiwan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Taiwan: Chunghwa,No,,Yes,6,Yes,https://web.three.com.hk/prepaid/realnameregistration/index-en.html,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754381966000,1771818105000,2026-04-29T17:54:42.813Z,,2026-04-30T10:26:42.978Z,
Active,VN,3ETHABCF,3,E,THA,BC,F,THABCF,SIM,DTAC,API Purchase,Datapack,Fixed Data,GOH10052022,Official,TH,Thailand,Local time,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G/5G,auto,auto,DTAC,Yes,TH,Yes,1,No,,No,,,,Go to Dtac/True Store to KYC for Call/SMS function,Fixed Data Plan,1753694559000,1771815301000,2026-04-29T17:54:42.812Z,,2026-04-30T10:26:43.464Z,
Active,VN,3ETHA3DP,3,E,THA,3D,P,THA3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,TH,Thailand,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Thailand: AIS / True,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753692322000,1771818105000,2026-04-29T17:54:42.812Z,,2026-04-30T10:26:43.222Z,
Active,VN,3ESGP3DP,3,E,SGP,3D,P,SGP3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,SG,Singapore,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Singapore: Simba,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754449841000,1771818105000,2026-04-29T17:54:40.827Z,,2026-04-30T10:26:42.978Z,
Active,VN,3ETHA3DF,3,E,THA,3D,F,THA3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,TH,Thailand,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Thailand: AIS / True,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753692323000,1771818105000,2026-04-29T17:54:40.827Z,,2026-04-30T10:26:42.978Z,
Active,VN,3ESGP3DB,3,E,SGP,3D,B,SGP3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,SG,Singapore,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Singapore: Simba,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754449841000,1771818105000,2026-04-29T17:54:40.826Z,,2026-04-30T10:26:43.222Z,
Active,VN,3ESGP3DF,3,E,SGP,3D,F,SGP3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,SG,Singapore,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Singapore: Simba,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754449850000,1771818105000,2026-04-29T17:54:40.826Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EPHL3DF,3,E,PHL,3D,F,PHL3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,PH,Philippines,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Philippines: Smart,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755074231000,1771818105000,2026-04-29T17:54:40.825Z,,2026-04-30T10:26:42.978Z,
Active,VN,3ESGP3DA,3,E,SGP,3D,A,SGP3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,SG,Singapore,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Singapore: Simba,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754449841000,1771818105000,2026-04-29T17:54:40.825Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EPHL3DP,3,E,PHL,3D,P,PHL3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,PH,Philippines,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Philippines: Smart,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755074228000,1771818105000,2026-04-29T17:54:40.825Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EMAL3DP,3,E,MAL,3D,P,MAL3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694660000,1771818105000,2026-04-29T17:54:40.824Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EMAL3DF,3,E,MAL,3D,F,MAL3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694853000,1771818105000,2026-04-29T17:54:40.823Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EMAL3DA,3,E,MAL,3D,A,MAL3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694660000,1771818105000,2026-04-29T17:54:40.822Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EMAL3DB,3,E,MAL,3D,B,MAL3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,MY,Malaysia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Malaysia: Celcomdigi, U-mobile",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694660000,1771818105000,2026-04-29T17:54:40.822Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EMAC3DF,3,E,MAC,3D,F,MAC3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,MO,Macao,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,Macao: 3HK,No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1759220670000,1771818105000,2026-04-29T17:54:40.821Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EKOR3DP,3,E,KOR,3D,P,KOR3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Korea: SK, LGU",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694168000,1771818105000,2026-04-29T17:54:40.821Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EKOR3DF,3,E,KOR,3D,F,KOR3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Korea: SK, LGU",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694212000,1771818105000,2026-04-29T17:54:40.821Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EKOR3DB,3,E,KOR,3D,B,KOR3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Korea: SK, LGU",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694168000,1771818105000,2026-04-29T17:54:40.820Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EKOR3DA,3,E,KOR,3D,A,KOR3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,KR,South Korea,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Korea: SK, LGU",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1753694168000,1771818105000,2026-04-29T17:54:40.820Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EJPN3DP,3,E,JPN,3D,P,JPN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754452792000,1771818105000,2026-04-29T17:54:40.819Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EJPN3DF,3,E,JPN,3D,F,JPN3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754452799000,1771818105000,2026-04-29T17:54:40.818Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EJPN3DB,3,E,JPN,3D,B,JPN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754452792000,1771818105000,2026-04-29T17:54:40.818Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EJPN3DA,3,E,JPN,3D,A,JPN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,JP,Japan,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Japan: Rakuten, Docomo",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1754452792000,1771818105000,2026-04-29T17:54:40.817Z,,2026-04-30T10:26:42.978Z,
Active,VN,3EIDN3DF,3,E,IDN,3D,F,IDN3DF,SIM,3HK,API Purchase,Datapack,Fixed Data,3HKDATAPOOLSIM,Official,ID,Indonesia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Indonesia: Telkomsel, Indosat",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755073533000,1771818105000,2026-04-29T17:54:40.817Z,,2026-04-30T10:26:43.222Z,
Active,VN,3EIDN3DP,3,E,IDN,3D,P,IDN3DP,SIM,3HK,API Purchase,Datapack,Daily Data,3HKDATAPOOLSIM,Official,ID,Indonesia,Count 24h,It will be activated after installing the QR code to your device. Installation right before your flight / right after landing is recommended.,4G,mobile.three.com.hk,gohub.com,"Indonesia: Telkomsel, Indosat",No,,Yes,1,No,,No,,,,"The probability of using Tiktok, ChatGPT is 80%.",,1755073527000,1771818105000,2026-04-29T17:54:40.817Z,,2026-04-30T10:26:42.978Z,
